n_obs,vanilla,a2c,vanilla_cc,a2c_cc
1,8536256000.0,8536256000.0,4277120027.0,4277120027.0
2,8569024000.0,8569024000.0,4294016064.0,4294016064.0
3,8601792000.0,8601792000.0,4311040125.0,4311040125.0
4,8634560000.0,8634560000.0,4328192216.0,4328192216.0
7,8732864000.0,8732864000.0,4380416729.0,4380416729.0
11,8863936000.0,8863936000.0,4451842197.0,4451842197.0
18,9093312000.0,9093312000.0,4581768000.0,4581768000.0
30,9486528000.0,9486528000.0,4819104768.0,4819104768.0
48,10076352000.0,10076352000.0,5209725000.0,5209725000.0
78,11059392000.0,11059392000.0,5953152000.0,5953152000.0
127,12665024000.0,12665024000.0,7416162689.0,7416162689.0
207,15286464000.0,15286464000.0,10469545329.0,10469545329.0
336,19513536000.0,19513536000.0,17136854472.0,17136854472.0
546,26394816000.0,26394816000.0,32624726592.0,32624726592.0
886,37535936000.0,37535936000.0,70000067072.0,70000067072.0
1438,55623872000.0,55623872000.0,163608704000.0,163608704000.0
2336,85049536000.0,85049536000.0,405302318472.0,405302318472.0
3793,132792512000.0,132792512000.0,1043032644875.0,1043032644875.0
6158,210288832000.0,210288832000.0,2767810176000.0,2767810176000.0
10000,336183488000.0,336183488000.0,7571900472008.0,7571900472008.0
