cell,tier,role,algo,n_seeds,iqm_norm_regret,ci_low,ci_high,iqm_J
3,expert,basic,bc,5,0.0819,0.0567,0.115,460.9
3,expert,variant,cql,5,0.3759,0.22,0.5231,320.3
3,medium,basic,bc,5,0.5971,0.5833,0.6023,214.6
3,medium,variant,cql,5,0.3572,0.2923,0.4183,329.2
3,medium50,basic,bc,5,0.598,0.5926,0.6044,214.2
3,simple,basic,bc,5,0.407,0.3915,0.4311,305.5
3,simple,variant,cql,5,0.3504,0.3011,0.3908,332.5
4,medium,basic,bc,5,0.9568,0.955,0.9578,42.6
4,medium,variant,proximal,5,0.4529,0.3771,0.5008,283.5
5,medium,basic,bc,5,0.5971,0.5833,0.6023,214.6
5,medium,variant,cql,5,0.3572,0.2923,0.4183,329.2
6,medium,basic,bc,5,0.9568,0.955,0.9578,42.6
6,medium,variant,latent_wm,5,0.5821,0.5599,0.6178,221.7
7,b1d05,basic,bc,5,0.6171,0.5964,0.8425,205.0
7,b1d05,variant,ens_pessimistic,5,0.1943,0.0302,0.3844,407.1
8,b1d05,basic,bc,5,0.9558,0.9521,0.9627,43.2
8,b1d05,variant,kz:bc,5,0.9558,0.9521,0.9627,43.2
8,b2d1,basic,bc,5,1.0264,1.0173,1.0266,9.4
8,b2d1,variant,kz:bc,5,1.0264,1.0173,1.0266,9.4
